,colsample_bytree,label_0_acc,label_1_acc,label_2_acc,label_3_acc,label_4_acc,label_5_acc,lambda_l1,lambda_l2,learning_rate,loss,max_bin,max_depth,min_child_samples,min_child_weight,n_estimators,num_class,num_leaves,subsample,subsample_freq,test_acc
123,0.3,0.9641760491299898,0.8077738515901061,0.642487733722318,0.5047242364315535,0.3894084934277047,0.41153546375681993,0.0001,0.01,0.015,1.0498370889454862,250,7,60,0,1063,6,17,0.8,1,0.5396496463306808
124,0.3,0.9611054247697032,0.8070671378091873,0.6447420766476595,0.5020874533069655,0.3859959555106168,0.40904130943102107,0.0001,0.0001,0.015,1.050287952069308,550,6,50,0,984,6,17,0.9,2,0.5381023430592397
125,0.2,0.962128966223132,0.8061248527679623,0.6386420899085002,0.5034058448692595,0.39016683518705764,0.4106001558846454,0.001,0.001,0.015,1.0506598388701542,450,6,50,0,1063,6,15,0.7,1,0.5382681255526083
126,0.2,0.9682702149437052,0.799057714958775,0.6443442514255404,0.504614370468029,0.3852376137512639,0.4112236944660951,0.001,0.01,0.03,1.0511021610944362,450,6,20,0,539,6,11,0.9,1,0.5381299734748011
127,0.3,0.9713408393039918,0.8073027090694935,0.6454051186845245,0.4981322786200835,0.3880182002022245,0.414809041309431,0.01,0.0001,0.02,1.0503710129194264,450,4,50,0,994,6,10,0.7,3,0.5390141467727675
128,0.3,0.970317297850563,0.7948174322732626,0.6538920567563984,0.500878927708196,0.38751263902932254,0.4060795011691348,0.01,0.001,0.02,1.051426278907278,450,5,40,0,617,6,11,0.8,3,0.5383233863837312
129,0.25,0.962128966223132,0.8054181389870436,0.6422225169075719,0.507690617446715,0.3867542972699697,0.40795011691348404,0.01,0.001,0.015,1.05053077233349,350,6,10,0,1120,6,15,0.9,1,0.5387931034482759
130,0.25,0.970317297850563,0.7976442873969376,0.6526985810900411,0.4994506701823775,0.38814459049544997,0.40904130943102107,0.0001,0.0001,0.02,1.05098496551084,350,4,10,0,811,6,11,0.8,1,0.5387102122015915
131,0.25,0.9631525076765609,0.8047114252061248,0.6455377270918976,0.503295978905735,0.38473205257836196,0.4127825409197194,0.01,0.0001,0.015,1.0505565245073178,450,5,50,0,1008,6,13,0.7,1,0.538737842617153
132,0.3,0.9651995905834186,0.8089517078916372,0.6428855589444371,0.5047242364315535,0.3866279069767442,0.4088854247856586,0.001,0.0001,0.03,1.0507346607859565,550,5,30,0,490,6,15,0.7,1,0.5388207338638373
133,0.2,0.9600818833162743,0.8110718492343933,0.6320116695398488,0.5115359261700725,0.38030839231547015,0.41652377240841776,0.01,0.01,0.03,1.0509798487912754,450,6,60,0,513,6,19,0.7,1,0.5383510167992926
134,0.2,0.9590583418628454,0.79811542991755,0.642355125314945,0.510107668644254,0.3899140546006067,0.4053000779423227,0.01,0.001,0.03,1.0517705062568683,450,7,10,0,476,6,11,0.7,1,0.5387102122015915
135,0.3,0.9662231320368475,0.7974087161366313,0.6553507492375017,0.497143484948363,0.391304347826087,0.4051441932969603,0.0001,0.01,0.02,1.0504410154295993,450,4,20,0,609,6,13,0.9,3,0.5385444297082228
136,0.3,0.9692937563971341,0.8080094228504122,0.642355125314945,0.5009887936717206,0.39332659251769464,0.4077942322681216,0.001,0.01,0.015,1.0503971804245464,450,6,20,0,962,6,13,0.7,1,0.5390417771883289
137,0.3,0.9611054247697032,0.805889281507656,0.6439464262034214,0.5056031641397495,0.3841001011122346,0.41496492595479345,0.01,0.01,0.015,1.0500761253234203,250,6,60,0,934,6,19,0.7,1,0.5393180813439434
138,0.3,0.9600818833162743,0.8110718492343933,0.6451399018697785,0.5031861129422105,0.38688068756319516,0.40857365549493374,0.01,0.001,0.03,1.0503989445397828,550,6,60,0,490,6,21,0.9,3,0.5390141467727675
139,0.3,0.9631525076765609,0.806831566548881,0.6463333775361358,0.499780268072951,0.39016683518705764,0.4096648480124708,0.0001,0.001,0.015,1.050179358059476,550,5,60,0,1059,6,13,0.7,1,0.5389036251105217
140,0.2,0.9518935516888434,0.805889281507656,0.6404986076117226,0.508130081300813,0.391304347826087,0.40576773187841,0.0001,0.001,0.03,1.051560856280151,550,6,10,0,566,6,13,0.9,1,0.5389312555260831
141,0.2,0.9662231320368475,0.8049469964664311,0.6446094682402864,0.5047242364315535,0.38169868554095043,0.4116913484021824,0.01,0.001,0.015,1.0506279131867764,550,4,10,0,1500,6,10,0.8,3,0.5381576038903625
142,0.2,0.9600818833162743,0.8070671378091873,0.6383768730937541,0.510327400571303,0.3852376137512639,0.41247077162899454,0.001,0.0001,0.03,1.050827328939483,350,7,20,0,539,6,21,0.9,1,0.5392628205128205
143,0.2,0.9631525076765609,0.8073027090694935,0.6370507890200239,0.5084596791913865,0.3866279069767442,0.4121590023382697,0.001,0.001,0.02,1.0506981250125793,350,7,30,0,895,6,15,0.9,1,0.5388759946949602
144,0.3,0.9641760491299898,0.8117785630153121,0.6419573000928259,0.5097780707536805,0.3839737108190091,0.413717848791894,0.001,0.0001,0.015,1.050354547725184,450,6,30,0,987,6,17,0.7,1,0.5404785587975243
145,0.3,0.9641760491299898,0.8073027090694935,0.6464659859435088,0.500219731927049,0.3894084934277047,0.41153546375681993,0.01,0.001,0.02,1.0497941818504648,550,5,60,0,842,6,17,0.9,2,0.539290450928382
146,0.25,0.9662231320368475,0.8037691401648999,0.6419573000928259,0.5062623599208965,0.3886501516683519,0.4116913484021824,0.01,0.01,0.03,1.0505165216880883,350,6,60,0,563,6,13,0.8,2,0.5393733421750663
147,0.2,0.9590583418628454,0.8127208480565371,0.6337355788356982,0.509448472863107,0.38561678463094035,0.41496492595479345,0.01,0.001,0.03,1.0507528329348237,250,7,50,0,614,6,19,0.8,1,0.5392351900972591
148,0.2,0.962128966223132,0.8037691401648999,0.6442116430181674,0.4996704021094265,0.391304347826087,0.40872954014029617,0.001,0.0001,0.015,1.050764363626423,550,5,20,0,1298,6,11,0.8,1,0.5381299734748011
149,0.25,0.9662231320368475,0.8,0.6476594616098661,0.5018677213799165,0.391304347826087,0.4059236165237724,0.001,0.001,0.015,1.0504226051088066,250,7,60,0,1112,6,11,0.9,1,0.5385720601237842
150,0.3,0.9651995905834186,0.8082449941107185,0.6458029439066437,0.503295978905735,0.3880182002022245,0.4116913484021824,0.001,0.01,0.015,1.0499395504682374,250,6,50,0,1077,6,17,0.9,1,0.5397877984084881
151,0.3,0.970317297850563,0.8025912838633686,0.6459355523140167,0.4998901340364755,0.3929474216380182,0.4096648480124708,0.01,0.01,0.03,1.0501344873444565,250,6,20,0,590,6,11,0.9,3,0.5391522988505747
152,0.25,0.9662231320368475,0.7974087161366313,0.6530964063121601,0.5005493298176225,0.38814459049544997,0.4053000779423227,0.0001,0.001,0.015,1.0507451613917334,550,4,50,0,990,6,11,0.9,1,0.5382681255526083
153,0.3,0.9651995905834186,0.8032979976442874,0.6508420633868187,0.5001098659635245,0.38928210313447925,0.4099766173031956,0.001,0.01,0.015,1.0502977229651596,550,4,40,0,1013,6,15,0.7,3,0.5394286030061892
154,0.2,0.9682702149437052,0.8016489988221437,0.6578703089775891,0.494726433750824,0.3859959555106168,0.3956352299298519,0.001,0.01,0.03,1.0532447931844673,350,4,10,0,605,6,3,0.8,1,0.5361682139699381
